fruit_label	fruit_name	mass	width	height	color_score
4	lemon	200	4.6	9.75	50
4	lemon	206	5	8.15	50
4	lemon	208	4.7	8.75	51
4	lemon	242	6.9	8.25	52
4	lemon	210	7	9.15	44
4	lemon	222	7.5	10.75	50
4	lemon	228	7.1	10.15	46
4	lemon	204	6.1	7.75	51
4	lemon	198	5.9	9.35	57
4	lemon	212	6.5	10	49
4	lemon	138	5.1	6.55	41
4	lemon	226	7.2	9.25	44
4	lemon	208	6.5	10	43
4	lemon	174	6.3	7.95	51
4	lemon	198	6	8.5	48
3	orange	262	7.3	7.85	27
3	orange	268	6.4	7.9	30
3	orange	256	7.3	8.9	42
3	orange	262	7.4	8.85	36
3	orange	230	6.8	7.55	47
3	orange	256	7.2	7.45	35
3	orange	240	6.6	8.15	30
3	orange	258	7.6	8.08	31
3	orange	254	6.7	7.92	32
3	orange	266	8	9.12	49
3	orange	252	7.9	7.5	40
3	orange	242	6.15	6.76	48
3	orange	232	6.95	7.5	35
3	orange	240	7.5	7.68	38
3	orange	240	6.85	7.58	57
2	mandarin	146	6.25	6.35	29
2	mandarin	154	6.15	6.4	35
2	mandarin	148	6.55	6.55	34
2	mandarin	150	5.95	6.6	27
2	mandarin	148	5.85	6.05	28
2	mandarin	148	6.45	6.58	28
2	mandarin	152	6.35	5.95	28
2	mandarin	150	6.15	6.48	24
2	mandarin	154	6.65	6.39	31
2	mandarin	154	7.15	7.08	42
2	mandarin	154	6.35	6.27	27
2	mandarin	150	5.75	5.87	19
2	mandarin	144	5.7	5.84	26
2	mandarin	150	5.55	6.02	27
2	mandarin	150	6.45	6.58	18
1	apple	288	8.15	8.08	52
1	apple	260	7.55	7.73	46
1	apple	218	7.05	7.03	46
1	apple	142	5.97	5.89	52
1	apple	316	8.52	9.04	49
1	apple	148	6.08	6.51	60
1	apple	198	6.87	7.02	64
1	apple	120	5.53	5.94	47
1	apple	148	6.17	7.16	46
1	apple	196	6.48	7.27	58
1	apple	164	5.93	7.89	49
1	apple	142	6.08	6.51	61
1	apple	262	7.58	8.27	50
1	apple	172	6.42	7.58	55
1	apple	154	6.37	7.39	60
